"post_id","message","created_at","permalink_url","like_count","comment_count","share_count","loaded_at"
"625982470938319_1421312549445822","Tekirdağ'da neler oluyor?

Renkly Fuarcılık  ana sponsorluğunda Ercan Kılıçlı ve Gülgün Pala Keçeci ile Kahve molası saat 11.00'de başlıyor.
Bekliyoruz","2026-01-26 06:38:17","https://www.facebook.com/1424887865754957/posts/1421312549445822",3,0,1,"2026-01-30 13:40:02.611756"
"625982470938319_1419959549581122","Ahmet Başkan ''Bizimde Haberimiz Yok'' dedi.
Çorlu Orion kavşağında ÇTSO binasına bitişik arazi üzerine yapılacağı duyurulan ve kooperatif aracılığı ile ön kayıtları yapılan AVM, Otel, Konut, projesini Çorlu Belediye Başkanı Ahmet Sarıkurt'a sorduk.","2026-01-24 16:59:49","https://www.facebook.com/reel/2158863634886916/",108,13,21,"2026-01-30 13:40:02.611756"
"625982470938319_1506924920401771","Çorlu Seyyar Esnaf ve Pazarcılar Odası Başkan Adayı 
Enver ŞENGELİR
@sıkı hayranlar #takipçi","2026-01-24 10:59:19","https://www.facebook.com/1424887865754957/videos/1506924920401771",41,10,58,"2026-01-30 13:40:02.611756"
"625982470938319_1419595246284219","Tekirdağ Büyükşehir belediyesi ve Çorlu Rotary Katkıları ile Rahim Ağzı Kanseri farkındalık etkinliği","2026-01-24 07:42:34","https://www.facebook.com/reel/2601739783529866/",46,5,15,"2026-01-30 13:40:02.611756"
"625982470938319_1419068256336918","Çorlu Seyyar Esnaf ve Pazarcılar Odası Başkan Adayı 
Enver ŞENGELİR
24 Ocak 2026 Cumartesi Saat:14:00 de #canlıyayın konumuz olacaktır.
Sizde  soru ve yorumlarınız ile katılabilirsiniz.","2026-01-23 15:02:20","https://www.facebook.com/1424887865754957/posts/1419068256336918",6,0,4,"2026-01-30 13:40:02.611756"
"625982470938319_1418323329744744","TBB Başkanı Dr. Candan Yüceer Çorlu basın toplantısında neler yaşandı. konuştuk.","2026-01-22 14:40:31","https://www.facebook.com/reel/1840830753299540/",6,2,2,"2026-01-30 13:40:02.611756"
"625982470938319_1418306586413085","AKPARTİ li Meclis üyesi Metin Kanat'ın çevre kirliliği isyanını konuştuk.","2026-01-22 14:13:11","https://www.facebook.com/reel/1464119558689584/",7,0,6,"2026-01-30 13:40:02.611756"
"625982470938319_1418298793080531","Nusaybin Kamışlıdaki Bayrak Provakosyonunu konuştuk","2026-01-22 14:02:49","https://www.facebook.com/reel/648420314996674/",0,0,1,"2026-01-30 13:40:02.611756"
"625982470938319_1418282499748827","Çorlu Yaşamak Neden Zenginliktir konuştuk..","2026-01-22 13:38:37","https://www.facebook.com/reel/899057365940758/",5,0,1,"2026-01-30 13:40:02.611756"
"625982470938319_1437739884433814","TEKİRDAĞ'DA NELER OLUYOR?

Renkly Fuarcılık                     
ana sponsorluğunda, Kahve molası canlı yayınımız da gündemi yorumluyoruz 
22 Ocak Perşembe 

#herkes
@sıkı hayranlar","2026-01-22 08:02:17","https://www.facebook.com/1424887865754957/videos/1437739884433814",34,27,39,"2026-01-30 13:40:02.611756"
"625982470938319_1418034496440294","Tekirdağ'da neler oluyor?

Renkly Fuarcılık ana sponsorluğunda Ercan Kılıçlı ve Gülgün Pala Keçeci ile Kahve molası saat 11.00'de başlıyor.
Bekliyoruz","2026-01-22 06:58:07","https://www.facebook.com/1424887865754957/posts/1418034496440294",2,0,1,"2026-01-30 13:40:02.611756"
"625982470938319_1417714846472259","AK Parti Milletvekili Mestan Özcan ''Tekirdağ’ımız için çok önemli ve kıymetli bir sosyal hizmet yatırımını daha hayata geçiriyoruz.''","2026-01-21 20:33:51","https://www.facebook.com/reel/854435770741680/",41,62,1,"2026-01-30 13:40:02.611756"
"625982470938319_1417449589832118","CHP Milletvekili Nurten Yontar ''Biz gece-gündüz burada nöbet tutarken “siyasi şov yapıyorsunuz” diye dalga geçen AKP’lilere sesleniyorum.''","2026-01-21 13:22:19","https://www.facebook.com/reel/1241499221176960/",11,1,0,"2026-01-30 13:40:02.611756"
"625982470938319_1417429586500785","Ergene Belediye Başkanı Müge Yıldız Topak, Bulgaristan’ın Yablanova Köyü’nde düzenlenen anma programına katılarak, geçmişte yaşanan acıların unutulmaması ve tarih bilincinin canlı tutulması adına anlamlı bir ziyarette bulundu.","2026-01-21 12:54:51","https://www.facebook.com/reel/1859589988034814/",63,2,14,"2026-01-30 13:40:02.611756"
"625982470938319_1417210856522658","Çevre Kirliliği AKPARTİ li meclis üyesini de çıldırttı.
Tekirdağ Kapaklı ilçesindeki fabrikaların dereye bıraktığı kirli suları gören Kapaklı Belediyesi ve Tekirdağ Büyükşehir Belediyesi AKPARTİ meclis üyesi Metin Kanat sosyal medya hesabından yaptığı canlı yayında adeta isyan etti.","2026-01-21 06:41:02","https://www.facebook.com/reel/1389205899423789/",46,25,16,"2026-01-30 13:40:02.611756"
"625982470938319_1416789753231435","Candan Başkan Çorlu'ya yeni yatırım müjdeleri verdi.","2026-01-20 17:25:24","https://www.facebook.com/reel/1453465823161159/",549,88,23,"2026-01-30 13:40:02.611756"
"625982470938319_1416759919901085","Tekirdağ Su Krizini #teksukriz konuştuk.
TBB Başkanı Candan Yüceer'in; Gaziantep Büyükşehir Belediye Başkanı Fatma Şahin'i ziyareti, AKPARTİ Mv. Mestan Özcan'ın açıklaması konuştuk.","2026-01-20 16:39:51","https://www.facebook.com/reel/1828824827778450/",11,3,1,"2026-01-30 13:40:02.611756"
"625982470938319_1416713363239074","Tekirdağ Büyükşehir Belediyesi ve Çorlu Rotary Kulübü işbirliği ile

Rahim ağzı kanseri farkındalık etkinliği
@corlurotary @tdagbld","2026-01-20 15:14:19","https://www.facebook.com/reel/1415674640050216/",1,0,11,"2026-01-30 13:40:02.611756"
"625982470938319_25480087178328561","Tekirdağ Büyükşehir Belediye Başkanı Dr. Candan Yüceer Çorlu'da muhtarlar ve basın mensupları ile bir araya geldi.","2026-01-20 06:51:54","https://www.facebook.com/1424887865754957/videos/25480087178328561",74,17,28,"2026-01-30 13:40:02.611756"
"625982470938319_1416131986630545","Çerkezköy OSB yönetim kurulu başkanı Eyüp Sözdinler'in Çevre Kirliliği açıklamasını konuştuk.","2026-01-19 19:51:06","https://www.facebook.com/reel/894039003004919/",6,0,5,"2026-01-30 13:40:02.611756"
"625982470938319_1416084046635339","Esnafa verilen kredinin; Vergi borcuna takılmasını konuştuk.","2026-01-19 18:18:26","https://www.facebook.com/reel/1240803461258087/",21,1,8,"2026-01-30 13:40:02.611756"
"625982470938319_1416079473302463","Emekli Aylıklarını Konuştuk. 18.800 TL. çok bile..","2026-01-19 18:09:40","https://www.facebook.com/reel/3744463559183429/",33,12,6,"2026-01-30 13:40:02.611756"
"625982470938319_872804395520735","TEKİRDAĞ'DA NELER OLUYOR?

Renkly Fuarcılık                    
ana sponsorluğunda, Kahve molası canlı yayınımız da gündemi yorumluyoruz 
19 Ocak Pazartesi 

#herkes
@sıkı hayranlar","2026-01-19 08:00:42","https://www.facebook.com/1424887865754957/videos/872804395520735",31,18,41,"2026-01-30 13:40:02.611756"
"625982470938319_1415662383344172","Tekirdağ'da neler oluyor?

Renkly Fuarcılık  ana sponsorluğunda Ercan Kılıçlı ve Gülgün Pala Keçeci ile Kahve molası saat 11.00'de başlıyor.
Bekliyoruz","2026-01-19 06:35:20","https://www.facebook.com/1424887865754957/posts/1415662383344172",0,0,0,"2026-01-30 13:40:02.611756"
"625982470938319_1415026216741122","AK Parti Tekirdağ Milletvekili Mestan Özcan 
'Bizim siyaset anlayışımızda “Bahane değil, Polemik değil, hizmet üretmek” düsturu vardır.

Bahane değil çözüm, polemik değil hizmet etmektir.

#Tekirdağ ’ın kaybedecek zamanı yok.

Hizmet üreten, sorumluluk alan, iş bilen kadrolarla bu şehir çok daha iyisini hak ediyor diyor.","2026-01-18 10:37:10","https://www.facebook.com/reel/1378988107056091/",21,18,8,"2026-01-30 13:40:02.611756"
"625982470938319_830218583353770","Çorlu şoförler odası 24. Olağan kongresi
Nadir Samancı","2026-01-17 08:53:32","https://www.facebook.com/1424887865754957/videos/830218583353770",278,18,24,"2026-01-30 13:40:02.611756"
"625982470938319_4393247504238263","Murat Uğur Çorlu Madeni Eşya Elektrikli Aletler Sanatkarlar Odası Başkan adaylığını açıklıyor.","2026-01-17 07:52:59","https://www.facebook.com/1424887865754957/videos/4393247504238263",102,54,28,"2026-01-30 13:40:02.611756"
"625982470938319_1413663443544066","CHP Süleymanpaşa İlçe Başkanı GÖKÇE BAYOL  'Geleceğimizin teminatı yavrularımızı ve onları binbir emekle büyüten ailelerini canıgönülden kutluyorum. 🎓✨

Karneler alındı, başarılar belgelendi; ancak bir eksik var ki yeri hiçbir notla dolmaz: Karnelerden silinmeye çalışılan Atatürk ve fikirleri... Bizler, Ata’sının izinde nesiller yetiştirmeye, o ışığı kalplerde yaşatmaya devam edeceğiz. 🇹🇷

İyi tatiller çocuklar
Gökçe Bayol 
CHP Süleymanpaşa İlçe Başkanı","2026-01-16 13:36:16","https://www.facebook.com/reel/1468821491487349/",44,11,12,"2026-01-30 13:40:02.611756"
"625982470938319_1413184660258611","CHP olarak Asgari ücretin 39 bin TL. emeklilerinde en az asgari ücret alması için önerge vereceğiz.
Tekirdağ mv. İlhami Özcan Aygun TBMM kürsüsünden böyle konuştu.","2026-01-15 21:34:34","https://www.facebook.com/reel/1171544241635448/",28,9,2,"2026-01-30 13:40:02.611756"
"625982470938319_1412760126967731","İYİ Parti Mv. Selcan Taşçı trafik cezaların ilişkin konuşması","2026-01-15 10:10:55","https://www.facebook.com/reel/2034406174074304/",35,4,2,"2026-01-30 13:40:02.611756"
"625982470938319_1412702083640202","Ergene Belediye Başkanı Müge Yıldız Topak","2026-01-15 08:29:46","https://www.facebook.com/reel/1594437654921827/",16,1,1,"2026-01-30 13:40:02.611756"
"625982470938319_1412325430344534","@corluspor1947sk Dayanışma gecesi yoğun bir katılım ile gerçekleşti.","2026-01-14 20:25:56","https://www.facebook.com/reel/897943899339739/",6,0,0,"2026-01-30 13:40:02.611756"
"625982470938319_1412301083680302","Kullanılmayan ev eşyaları çöpe atmayın; sokaklarda çirkin görüntüler oluşturmayın. Belediye 444 80 59 çağrı merkezini arayın.
Kapaklı Belediyesi","2026-01-14 19:30:42","https://www.facebook.com/reel/898315159398623/",5,0,1,"2026-01-30 13:40:02.611756"
"625982470938319_1412274490349628","İYİ Parti Mv. Selcan Taşçı TBMM konuşması","2026-01-14 18:34:30","https://www.facebook.com/reel/1400676048376201/",19,0,3,"2026-01-30 13:40:02.611756"
"625982470938319_1412197607023983","CHP Mv. İlhami Özcan Aygun TBMM de Emekliler için nöbetteyim dedi.","2026-01-14 16:07:15","https://www.facebook.com/reel/1945783296343697/",17,5,1,"2026-01-30 13:40:02.611756"
